"Prey_ID","Pike_ID","Date","Species","encounter_count_high_conf","encounter_count_probable","encounter_count_possible","daily_avg_dist","daily_min_dist"
"F59818","F59897",2022-10-04,"Roach",0,17,31,27.404160130852,3.05798692151354
"F59818","F59897",2022-10-05,"Roach",0,3,64,33.2446885489076,4.90514936247151
"F59818","F59897",2022-10-06,"Roach",8,94,848,19.3302023784976,1.06122475908815
"F59818","F59897",2022-10-07,"Roach",14,227,601,20.567874162468,0.983596252391513
"F59818","F59897",2022-10-08,"Roach",22,317,322,18.4045414389661,2.31494538964751
"F59818","F59897",2022-10-09,"Roach",20,25,120,25.155844102606,1.0122287615198
"F59818","F59897",2022-10-10,"Roach",0,18,87,27.3328706717437,3.54171433774008
"F59818","F59897",2022-10-11,"Roach",9,46,285,17.2304113175872,2.45964489977605
"F59818","F59897",2022-10-12,"Roach",0,30,177,16.538734718778,3.67167587055123
"F59818","F59897",2022-10-13,"Roach",14,108,192,25.4474595401522,1.36558162975622
"F59818","F59897",2022-10-14,"Roach",16,60,98,17.85679471701,0.779344774423018
"F59818","F59897",2022-10-15,"Roach",43,126,606,21.4163445558627,1.88045689964051
"F59818","F59897",2022-10-16,"Roach",14,42,71,25.9700706709934,0.985872058613316
"F59818","F59897",2022-10-17,"Roach",2,13,74,16.849055334805,1.41099563862552
"F59818","F59897",2022-10-18,"Roach",0,25,333,18.0205664713747,3.85378592346656
"F59818","F59897",2022-10-19,"Roach",50,439,281,14.0577889149059,1.65579726281221
"F59818","F59897",2022-10-20,"Roach",0,123,11,18.8588977914851,4.02166560404614
"F59818","F59897",2022-10-21,"Roach",4,42,93,14.9959877872495,2.61504844986099
"F59818","F59897",2022-10-22,"Roach",15,69,113,16.662445113881,1.6669009930209
"F59818","F59897",2022-10-23,"Roach",12,200,238,9.23139421219294,1.63184516389942
"F59818","F59897",2022-10-24,"Roach",2,28,55,20.9601545501011,2.60811755451861
"F59818","F59897",2022-10-25,"Roach",13,14,12,22.5369491886214,0.913672885445387
"F59818","F59897",2022-10-26,"Roach",28,86,81,19.1148421114593,2.11032192495034
"F59818","F59897",2022-10-27,"Roach",4,69,163,19.4061664072442,1.50651674881541
"F59818","F59897",2022-10-28,"Roach",14,10,47,14.4732583717483,0.896056976035404
"F59818","F59897",2022-10-29,"Roach",0,5,18,24.7354619698601,5.72978198771054
"F59818","F59897",2022-10-30,"Roach",11,63,78,11.3470348763584,1.6237923163846
"F59818","F59898",2022-09-27,"Roach",0,5,30,19.4180220605001,4.98420880220005
"F59818","F59898",2022-09-28,"Roach",2,26,21,30.8977329634518,2.90332830105847
